Station ID,Station Name,,Latitude,Longitude,Elevation,Start date,End date,Country
TT003083,VILA MOUZINHO DE ALBUQUERQUE,,,,,,,MOZAMBIQUE
TT003084,ULONGUE AWS (DAVIS),,-14.71,34.36,1280,,,MOZAMBIQUE
TT003085,FURANCUNGO AWS (DAVIS),,-15.36,33.36,1273,,,MOZAMBQIQUE
TT003086,CHANGARA AWS (DAVIS),,-16.83,33.27,254,,,MOZAMBIQUE
TT003087,MENGO - BALAME,,,,,,,MOZAMABIQUE
TT003088,METENGO-MUDZI,,,,,,,MOZAMBIQUE
TT003089,BOROMA,,,,,,,MOZAMBIQUE
TT003090,MAGOE AWS (SADC),,-15.82,31.75,70,,,MOZAMBIQUE
ZB004001,QUELIMANE,,-17.88,36.88,6,03/01/1911,31/12/9999,MOZAMBIQUE
ZB004003,MOPEA,,-17.97,35.73,51,01/01/1912,31/12/1913,MOZAMBIQUE
ZB004006,MILANGE,,-16.08,35.78,745,01/01/1914,31/12/9999,MOZAMBIQUE
ZB004007,MUABAZE,,-17.17,38.75,999.9,01/01/1914,31/12/9999,MOZAMBIQUE
ZB004008,LUGELA,,-16.82,36.92,293,01/01/1914,31/12/1918,MOZAMBIQUE
ZB004010,MAQUIVAL,,-17.73,37.83,999.9,01/01/1915,31/12/9999,MOZAMBIQUE
ZB004011,PORTO BELO,,-17.72,37.22,999.9,01/01/1915,31/12/9999,MOZAMBIQUE
ZB004012,RAGONE,,-15.73,36.8,999.9,01/01/1915,31/12/9999,MOZAMBIQUE
ZB004013,VILA BOCAGE,,-17.47,35.33,21,01/01/1915,31/12/9999,MOZAMBIQUE
ZB004015,MUCUBI,,-16.2,36.95,999.9,01/01/1916,31/12/9999,MOZAMBIQUE
ZB004016,MUOBEDE,,-16.43,36.75,293,01/01/1916,31/12/9999,MOZAMBIQUE
ZB004017,NAMACURRA,,-17.5,37.02,50,01/01/1916,1984/11/31,MOZAMBIQUE
ZB004018,NAMARROI,,-15.95,36.87,603,01/01/1916,31/12/1917,MOZAMBIQUE
ZB004024,ALTO MOLOQUE,,-15.63,37.68,563,01/01/1924,30/06/1985,MOZAMBIQUE
ZB004028,CHINDE,,-18.58,36.47,4,03/01/1927,31/08/1983,MOZAMBIQUE
ZB004029,PEBANE,,-17.27,38.15,25,08/01/1927,31/12/9999,MOZAMBIQUE
ZB004032,ERREGO-ILE,,-16.03,37.18,533,05/01/1929,31/12/9999,MOZAMBIQUE
ZB004037,MOCUBA,,-16.83,36.98,134,02/01/1933,31/12/1985,MOZAMBIQUE
ZB004038,MAGANJA DA COSTA,,-17.3,37.53,70,11/01/1933,31/08/1986,MOZAMBIQUE
ZB004043,GURUE,,-15.5,36.98,734,10/01/1937,30/04/1983,MOZAMBIQUE
ZB004049,LUGELA,,-16.43,36.75,293,09/01/1941,31/12/1981,MOZAMBIQUE
ZB004050,NAMARROI,,-15.95,36.87,603,10/01/1941,31/07/1984,MOZAMBIQUE
ZB004052,MOPEIA,,-18,35.83,51,11/01/1941,31/07/1959,MOZAMBIQUE
ZB004056,MORRUMBALA,,-17.33,35.58,417,09/01/1946,31/05/1981,MOZAMBIQUE
ZB004057,MELELA,,-15.73,37.48,650,01/01/1947,30/04/1964,MOZAMBIQUE
ZB004062,TACUANE,,-16.35,36.5,343,01/01/1952,31/10/1971,MOZAMBIQUE
ZB004063,TACUANE-MADAL,,-16.35,36.37,400,01/01/1952,30/09/1982,MOZAMBIQUE
ZB004065,LIOMA,,-15.15,36.77,736,09/01/1953,30/09/1974,MOZAMBIQUE
ZB004067,MOPEIA,,-17,35,51,10/01/1959,30/04/1985,MOZAMBIQUE
ZB004070,BRIGADA DO CHA-GURUE,,-15.47,36.45,534,01/01/1965,31/12/1981,MOZAMBIQUE
ZB004075,ILHA SALIA-INHASSAMBO,,-18.72,36.22,999.9,07/01/1971,31/08/1984,MOZAMBIQUE
ZB004076,MUGEMA,,-15.38,37.55,736,10/01/1971,31/05/1983,MOZAMBIQUE
ZB004077,MUCELO,,-17.7,36.87,3,11/01/1971,31/07/1979,MOZAMBIQUE
ZB004079,GILE,,-16.15,38.37,170,09/01/1972,31/03/1985,MOZAMBIQUE
ZB004080,MOCUBELA,,-16.9,37.82,70,01/01/1972,30/04/1983,MOZAMBIQUE
ZB004081,PEBANE AWS,,-17.27,38.15,25,,,MOZAMBIQUE
ZB004082,GILE AWS (NESA),67258,-16.15,38.37,170,,,MOZAMBIQUE
ZB004083,NAMARROI AWS (NESA),67265,-15.95,36.87,603,,,MOZAMBIQUE
ZB004084,MATOLOLO,,,,,,,MOZAMBIQUE
ZB004085,ZALALA,,,,,,,MOZAMBIQUE
ZB004086,JAGARRA,,,,,,,MOZAMBIQUE
ZB004087,NAWELA,,,,,,,MOZAMBIQUE
ZB004088,MOPEIA/AGRICOLA,,,,,,,MOZAMBIQUE
ZB004089,MOCUBA/AGRICOLA,,,,,,,MOZAMBIQUE
ZB004090,MORRUMBALA AWS (SADC),,-17.33,36.59,421,,,MOZAMBIQUE
